,index,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
10,886,France,"This Grenache-heavy blend (with 20% Syrah) offers a good amount of bittersweet cocoa powder and rich jammy black berries and all-fruit preserves on the nose and mouth. A hint of gaminess adds interest to the bouquet, while the crushed velvet texture and firm tannins transition into a long finish laced with earthy spice.",La Mère Grand,90,25.0,Languedoc-Roussillon,Minervois,,Lauren Buzzeo,@laurbuzz,Loup Blanc 2007 La Mère Grand Red (Minervois),Rhône-style Red Blend,Loup Blanc
11,1210,US,"Black in color, this heavy concentrated wine is thick in black pepper and clove, with underlying streaks of cedar. Well structured, it unfurls depths of black cherry, currant and vanilla as it develops in the glass, finishing a full bodied as it started.",Reserve,93,52.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,St. Francis 2014 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,St. Francis
12,1233,US,"With a fruity exuberance of crisp cranberry and red cherry, this wine delights in touches of nuanced herb and earth. Light bodied and refreshing, it maintains elegant complexity and depth, a lovely example of site and winemaking.",Sexton Hill Vineyard Estate Grown Estate Bottled,92,42.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Balletto 2015 Sexton Hill Vineyard Estate Grown Estate Bottled Pinot Noir (Russian River Valley),Pinot Noir,Balletto
13,1451,France,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024.",Les Sentiers Premier Cru,94,135.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband
14,1463,France,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",Les Boudots Premier Cru,93,132.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot
15,1523,US,"A huge step up from the previous vintage, this ripe, round and wonderfully fruity effort is a juicy, mineral-soaked bottle of joy. Luscious cherry fruit is topped with a dollop of butterscotch.",Reserve,92,48.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Rex Hill 2010 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill
16,1559,France,"A beautiful wine, with the firmest tannins surrounded by perfumed fruit. It is dense, of course, but this density is balanced with great elegance, blackberry fruits, sweetness and final juicy acidity. The wine is structured, a powerhouse of concentration while preserving this complete style.",,98,380.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Palmer 2009  Margaux,Bordeaux-style Red Blend,Château Palmer
17,1574,US,"A huge Cabernet, in the best sense of the word. It wasn't the easiest vintage, as 2007 was, but meticulous winemaking did the job, resulting in this amazingly rich, impressively ripe wine that's drinkable now and will develop for many years. The fruits veer toward blackberries, cherries and cola, and the tannins are soft and refined. One hundred percent new French oak isn't at all heavy, lending nuances of buttered toast and sweet wood tannins. Will easily age for 15 years.",Reserve,96,125.0,California,Oakville,Napa,,,Groth 2008 Reserve Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Groth
18,1861,France,This wine continues the upward progression of Clerc-Milon. It has weight and density while also showing sweetness and delicious acidity. A very complete wine.,,94,74.0,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Clerc Milon 2009  Pauillac,Bordeaux-style Red Blend,Château Clerc Milon
19,2071,France,"A 50/50 blend of Merlot and Cabernet Sauvignon, this shows big fruity flavors tempered with a dry core of tannins. There is a stalky element of black currant skins which adds to the sensation of dryness, but there is also a more mouthfilling character of black plum juice to give the wine a final roundness.",,90,31.0,Bordeaux,Graves,,Roger Voss,@vossroger,Vieux Château Gaubert 2005  Graves,Bordeaux-style Red Blend,Vieux Château Gaubert
20,2182,US,"Don't let the playful label fool you, this is an impressive, dry wine. Big, very ripe and fruity, it also has a good grippy texture due to firm tannins and acidity that make it appetizing. The color is quite dark, and the black cherry, blackberry and raspberry flavors run deep.",Ryker Red; Pilot Ridge Vineyard; Estate Grown,90,25.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Hart 2 Hart 2014 Ryker Red; Pilot Ridge Vineyard; Estate Grown Red (El Dorado),Bordeaux-style Red Blend,Hart 2 Hart
21,2316,US,"Ripe, fruity and delicious. Flatters with deep, long flavors of blackberries, black currants, cassis and cedar, with a lush, tannic mouthfeel and long finish. Nice now, and should develop beyond 2012.",Chicken Ranch Vineyard,90,30.0,California,Rutherford,Napa,,,Trinchero 2005 Chicken Ranch Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Trinchero
22,2674,France,"This is vibrant and expressive, with upfront purple-flower fragrances of violet and iris mixed with fruity tones of boysenberry and raspberry sauce. The crushed-silk texture offers medium tannins, ample acidity and skin-driven fruit flavors. Roasted coffee bean and sweet smoke accents mark the lingering finish.",,90,24.0,Languedoc-Roussillon,Côtes du Roussillon Villages Caramany,,Lauren Buzzeo,@laurbuzz,Les Villages de Terroir Catalan 2010 Red (Côtes du Roussillon Villages Caramany),Rhône-style Red Blend,Les Villages de Terroir Catalan
23,2867,US,"This is a very successful wine, made in the Paso style of soft voluptuousness and plenty of ripe, fruity flavors. Blended from the classic Bordeaux varieties, it's rich in blackberry and blueberry jam, buttered toast and spice flavors, wrapped into smooth tannins. Should develop over the next six years.",Harmonie des Cepages,91,44.0,California,Paso Robles,Central Coast,,,RN Estate 2010 Harmonie des Cepages Red (Paso Robles),Bordeaux-style Red Blend,RN Estate
24,2869,US,"California Cabernet simply doesn't get richer or riper than this. It explodes with blackberry and cherry jam and chocolate flavors whose sweetness persists into the long, spicy finish. And yet the wine is technically dry. Drink over the next few years.",Lock Vineyard,91,38.0,California,Paso Robles,Central Coast,,,Écluse 2010 Lock Vineyard Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Écluse
25,2976,France,"This Cru Bourgeois estate has produced a structured wine that is still showing strong wood-aging flavors. Toasty as well as ripely fruity, it has firm tannins and good aging potential. The aftertaste is fruity and spicy. Drink from 2019.",,91,23.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château le Pey 2014  Médoc,Bordeaux-style Red Blend,Château le Pey
26,3190,US,"Full bodied and definitely fruity without being sweet, this wine from Fulcrum comes straight at the taste buds with opulent black cherry and tart raspberry flavors on a vivid texture. Having spent 15 months in French oak before bottling, it tastes a bit dense and muted at this point, and should be best after 2018.",Christina's Cuvée,90,38.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,On Point 2014 Christina's Cuvée Pinot Noir (North Coast),Pinot Noir,On Point
27,3831,US,"Massive fruity extract characterizes this Cabernet. With noble tannins and explosive black currant, cassis and dark chocolate flavors, it defines the modern Napa cult style of soft, delicious complexity. Good to go now, but you're better off holding it for 8–12 years.",Reserve,93,106.0,California,Napa Valley,Napa,,,Black Coyote 2010 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Black Coyote
28,3873,US,"A blend of Roussanne, Marsanne and Viognier, this was made in the passito style—grapes were dried to concentrate sugars, then pressed and fermented. The result is a terrific and unusual dessert wine, with candied fruits mixing papaya, guava, banana, Meyer lemon and more. The center is simply lush and fruity; the finish tails off gently with a honeyed kiss.",Passito,91,28.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Francis Tannahill 2008 Passito White (Oregon),Rhône-style White Blend,Francis Tannahill
29,3966,US,"A Châteauneuf-du-Pape-style Rhône blend that really nails it for satisfaction. Rich and fruity, spicy, yet with great structure. Defines the vintner's art of blending, comprised of five varieties sourced from a dozen vineyards. Fun and serious at the same time.",M5,90,24.0,California,Santa Barbara County,Central Coast,,,Margerum 2007 M5 Red (Santa Barbara County),Rhône-style Red Blend,Margerum
30,4122,France,"This bone-dry wine is made using Pinot Noir skins to give its salmon-pink color. It is dry and tightly crisp, compared with the brut nature cuvée also made from Pinot Noir. The ripe red fruits give a fruity character that balances the dryness. Like many really dry Champagnes, it needs to age to soften the intensity of the acidity, so drink this bottling from 2017.",Rosé Brut Nature,90,60.0,Champagne,Champagne,,Roger Voss,@vossroger,Drappier NV Rosé Brut Nature Pinot Noir (Champagne),Pinot Noir,Drappier
31,4133,US,"Strawberries, red currants and root beer come out at first, with cherry soda bringing up the rear. This forward, fresh and fruity wine is drinking well right now, and should be consumed through 2019.",Elton,90,55.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2013 Elton Pinot Noir (Eola-Amity Hills),Pinot Noir,Willamette Valley Vineyards
32,4358,France,"From one of a group of chateaus owned by the Guyon family of Rolland de By, this is an intensely fruity wine. It has finely balanced tannins and acidity along with smoky flavors and layers of delicious black currant fruit. Drink from 2019.",,90,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château La Clare 2014  Médoc,Bordeaux-style Red Blend,Château La Clare
33,4366,US,"This young, vigorous Cabernet is full of ripe, upfront fruity flavors, yet it's dry and complex, and is grounded by a pleasing tug of herbaceousness. Most notable is the rich blackberry, raspberry and currant fruit, and the way the sweet, smoky oak complements it. Drink now for freshness.",,91,45.0,California,Napa Valley,Napa,,,Bell 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bell
34,4484,France,This wine comes from a four-acre parcel of 55-year-old vines. It has the concentration that is so special to old vines. That goes with the ripe red fruits and generous tannins that give the wine great richness. It is a young wine still even though so fruity and will be better to drink from 2019.,Vieilles Vignes,91,64.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Henri Delagrange
35,4687,US,"This medium-bodied wine has a compelling blend of restraint and power. It offers modest, fruity aromas at first, then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish. With little oak flavor in the way, it gives pure Pinot sophistication.",,91,20.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Navarro 2014 Pinot Noir (Anderson Valley),Pinot Noir,Navarro
36,4689,US,"Another stunning deal on this annual bottling, this wine is jammy and fruity on the nose with buttered cherries and berry jam, yet layered with baking spice and wet clay minerality. Dried strawberries, black cherries and plums show on the palate, enhanced by a toasted clove, graphite, juniper and forest floor mintiness.",Huntington,91,24.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Pali 2014 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali
37,4746,US,"An exceptional wine from this historic producer. Very aromatic, with generous blueberry, chocolate, mint, mushroom, and sweet charred oak. Rich and full-bodied. The fruity ripeness is delicious and sweet. The mouthfeel is luscious and creamy, and it finishes with a slight tannic bite. Probably at its youthful best now.",,90,25.0,California,Chiles Valley,Napa,,,Louis M. Martini 1997 Merlot (Chiles Valley),Merlot,Louis M. Martini
38,4963,France,"Full-bodied, fruity wine that has wood aging flavors along with red plum and strawberry fruits. Smoky, perfumed, this is a wine that shows fresh fruit with a good depth of flavor. Age for 2–3 years.",,90,20.0,Loire Valley,Anjou Villages Brissac,,Roger Voss,@vossroger,Château la Varière 2010 Cabernet Franc-Cabernet Sauvignon (Anjou Villages Brissac),Cabernet Franc-Cabernet Sauvignon,Château la Varière
39,4968,France,"Ripe black currant aromas set this wine on its full, warm path. It is intensely fruity with a rounded feel to it. The acidity cuts through the ripe character, giving tension and a piercing crisp aftertaste.",Anciennes Vignes,90,26.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Patient Cottat 2010 Anciennes Vignes  (Sancerre),Sauvignon Blanc,Patient Cottat
40,5052,Lebanon,"Aromas of cherry and vanilla continue to the palate alongside notes of toffee, smoked meat and roasted red pepper. A well-balanced wine, with flavors that are equal parts fruity and savory, the finish boasts lingering tannins and bright acidity. Fine Terroir Selections, Misa Imports.",Grande Réserve,91,30.0,Lebanon,,,Mike DeSimone,@worldwineguys,Ixsir 2009 Grande Réserve Syrah-Cabernet Sauvignon (Lebanon),Syrah-Cabernet Sauvignon,Ixsir
41,5142,US,"A savory rather than fruity blend of 60% Syrah and 40% Grenache, this bottling offers black pepper, anise and light violet alongside boysenberry and elderberry fruit on the nose. The palate tightens up into underripe cherry, thyme, marjoram and bay leaf, with very dry elderberry fruit tones.",Pendulum,92,35.0,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Baker & Brain 2013 Pendulum Red (Monterey County),Rhône-style Red Blend,Baker & Brain
42,5148,France,"This was the last vintage at Clos Fourtet under the ownership of the Lurtons. They made fine wine, but the potential of the property was never quite realized. The wine just fails to excite: it is rich and concentrated with ripe tannins and some sweetness, but at the same time, there is a layer of acidity and structure which gives the wine a firm, solid shape.",,90,51.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Clos Fourtet 2000  Saint-Émilion,Bordeaux-style Red Blend,Clos Fourtet
43,5192,France,"A full, fruity wine, it is ripe and finely textured. It also has a good chalky, mineral character, rich apple and grapefruit flavors and tight, dense acidity. It should be aged until 2015.",Domaine des Côtes Blanches,90,25.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,François Millet 2012 Domaine des Côtes Blanches  (Sancerre),Sauvignon Blanc,François Millet
44,5245,France,"From vines with an average age of 25 years, this concentrated wine is fruity and stylishly textured. With lively acidity balanced by tense minerality, it shows intense citrus and concentration. It will benefit from some aging, so drink from 2018.",Enclos de Maimbray,91,30.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Matthias et Emile Roblin 2014 Enclos de Maimbray  (Sancerre),Sauvignon Blanc,Domaine Matthias et Emile Roblin
45,5506,US,"Held back for more than four years, this Cab remains tough in tannins and lush in primary fruits. It's as ripe as any '09 out there, with black cherry, currant, chocolate and roasted coconut flavors. A succulent sweetness runs throughout, despite the absolutely dry finish. Hold until 2018, and if you have more than one bottle, drink one every additional year.",,93,80.0,California,Howell Mountain,Napa,,,Duckhorn 2009 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Duckhorn
46,5646,US,"Retour relies on fruit sourced from so-called “old vine” Pinot vineyards. It's full, fleshy, round and brightly fruity, with plenty of spicy chocolate from extended barrel aging. Some whole cluster fermentation and native yeasts contribute to the complexity. A very fine debut.",,90,65.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Retour 2006 Pinot Noir (Willamette Valley),Pinot Noir,Retour
47,5761,Romania,"This late harvest Sauvignon Blanc is honey gold in color, with tantalizing aromas of honeysuckle, white flowers and lanolin. It is generous on the palate, with flavors of apricot and tinned peaches supported by floral notes. Its sweetness is enhanced by a pleasing level of acidity on the finish.",Conocul Ambrozy,92,28.0,Recas,,,Jeff Jenssen,@worldwineguys,Cramele Recas 2013 Conocul Ambrozy Sauvignon Blanc (Recas),Sauvignon Blanc,Cramele Recas
48,5913,US,"Brilliantly dry and rich in acidity, this Pinot feels very refined in the mouth. With relatively modest alcohol, it offers an elegant and refreshing alternative to the heavy style of many California Pinot Noirs. Offers notes of earth, cherries, mushrooms, spices and sweet sandalwood.",Wentzel,95,50.0,California,Anderson Valley,,,,Copain Wines 2009 Wentzel Pinot Noir (Anderson Valley),Pinot Noir,Copain Wines
49,6019,US,"This bottling explores the more concentrated side of Pinot Noir, with hearty aromas of balsamic fig sauce, cooked berries, clove and rum cake. Roasted blackberry clusters and charred figs show on the sip alongside potent baking spices, making for a rich and heavy expression, although leveling acidity pounds into the finish.",Tondre,90,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Tantara 2015 Tondre Pinot Noir (Santa Lucia Highlands),Pinot Noir,Tantara
50,6025,US,"This suave-textured and lavishly fruity wine combines a rich baking-spice aroma, with saturated blackberry, blueberry and dark chocolate flavors. The mouthfeel of this Bordeaux-style blend is smooth and creamy and the finish is long.",Long Valley,90,50.0,California,California,California Other,Jim Gordon,@gordone_cellars,Bel Vino 2014 Long Valley Red (California),Red Blend,Bel Vino
51,6146,US,"Cherry-berry crumble topped with vanilla cream gives this wine a brambly, succulent quality, dusted in light cinnamon spice, cedar and well-integrated tannin and oak. Powerful and full-bodied, it's fruity, balanced and enjoyable now.",District Collection,92,85.0,California,Rutherford,Napa,Virginie Boone,@vboone,Raymond 2012 District Collection Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Raymond
52,6249,Portugal,This is a bold and ripely fruity wine. Fine tannins and blackberry fruits are already well combined in a big and juicy whole. The wine does have a structure and layers of wood aging that suggest it will age. Drink from 2018.,Abreu Callado Reserva ,90,18.0,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2012 Abreu Callado Reserva  Red (Alentejano),Portuguese Red,Wines & Winemakers
53,6260,US,"This is a heavy-duty Cabernet, big in every way, with rich black cherry and cassis fruit, and dense, dark tannins. The long, slightly grainy finish reinforces the impression of raw power, yet the wine retains perfect proportion and is nicely differentiated from the other 2010s crafted by winemaker Chris Figgins.",,95,89.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Doubleback 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Doubleback
54,6731,France,"With its fine tannic structure, plum juice sweetness and beautifully ripe fruits, this is a wine that combines structure with a rich velvet coat. The acidity gives a fine lift, bringing out strawberries and a final piercing freshness.",Les Amoureuses Premier Cru,94,280.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Joseph Drouhin 2008 Les Amoureuses Premier Cru  (Chambolle-Musigny),Pinot Noir,Joseph Drouhin
55,6916,Spain,"This village-designated Priorat is dry, spicy and fresh on the nose, with notes of mountain herbs as well as lively raspberry, plum and currant. It feels wide and packed with power and purity. Roasted berry, oak spice, earth notes and rooty sweetness define the flavor profile on this long-finishing wine with hard tannins and strong aging potential. Best from 2017 through 2024; only 100 cases made.",Poboleda Vi de la Villa,93,46.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Genium Celler 2009 Poboleda Vi de la Villa Red (Priorat),Red Blend,Genium Celler
56,6928,Portugal,"From the coastal plain of the Beiras, this cool and structured blend of Baga and Touriga Nacional has a fine poise between acidity and sweet berry fruits. It's a complex, textured wine. Fresh and fruity on the one hand and dark and brooding on the other, it needs time, so drink from 2017.",,93,20.0,Beira Atlantico,,,Roger Voss,@vossroger,Quinta de Foz de Arouce 2011 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce
57,6935,US,"Gavin Chanin's take on this vineyard shows lots of dark but never heavy spice on the nose, with bergamot, white sage and damp eucalyptus forest complementing the raspberry fruit. The palate clings to a line of graphite minerality, with cooked raspberry torte and loamy earth flavors leading into a black-tea finish.",Zotovich Vineyard,93,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Chanin 2013 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Chanin
58,7031,US,"A big, bold and beautiful Cabernet. Will appeal to those who like the California style, although Bordeauxphiles will find it too ripe and fruity. Brims with blackberries, black cherries, currants, licorice and sweet toasted oak, wrapped into firm, mountain tannins. Now–2014.",,92,65.0,California,Spring Mountain District,Napa,,,Barnett 2007 Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Barnett
59,7178,South Africa,"Floral notes of crushed violet and iris are partnered with fruity scents of boysenberry, black berry and cherry on the nose of this blend, made from 49% Merlot, 30% Malbec and 21% Cabernet Sauvignon. The fruit continues on to the medium-weight palate, alongside spicy accents of pepper and licorice. The texture is full and the tannins mouthcoating yet fleeting on the finish. Drink now–2018.",Series M,90,80.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Vilafonté 2010 Series M Red (Paarl),Bordeaux-style Red Blend,Vilafonté
60,7506,US,"This full-bodied but far from heavy wine has wonderful aromatic complexity, evoking Bing cherries, black tea, clove and pine forest, while the flavors gush with red cherry and rhubarb. The slightly lean and crisp balance combines with bright and layered flavors in an appealing way. Best through 2020.",Keefer Ranch Vineyard,92,50.0,California,Russian River Valley,Sonoma,Jim Gordon,@gordone_cellars,Loring Wine Company 2013 Keefer Ranch Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Loring Wine Company
61,7522,France,"This young wine is fruity and fresh, perfumed with spice and lemon blossom. The tight texture will soften as the wine ages to bring out the warmth and richness of the vintage. Keep this long-term wine and drink from 2018.",Premier Cru Blanc de Noirs Bisseuil Brut,92,65.0,Champagne,Champagne,,Roger Voss,@vossroger,A.R. Lenoble  2009 Premier Cru Blanc de Noirs Bisseuil Brut Pinot Noir (Champagne),Pinot Noir,A.R. Lenoble 
62,7921,Italy,"Spicy, structured and fruity, this savory wine opens with aromas of ripe berry and dark cooking spice. The full-bodied palate doles out crushed blackberry, plum, black cherry, ground black pepper and star anise alongside firm, velvety tannins.",I Selis Rosso Superiore,90,30.0,Sicily & Sardinia,Monica di Sardegna,,Kerin O’Keefe,@kerinokeefe,Argiolas 2013 I Selis Rosso Superiore  (Monica di Sardegna),Red Blend,Argiolas
63,8073,US,"From vines now a dozen years old, this unusual Walla Walla AVA Sauvignon Blanc is a brilliant straw color—aromatic with light scents of ripe grain and tangy fruits, and fills the mouth with delicious flavors of melon, white peach, lemon verbena and a dash of pepper. Complex and engaging, it finishes dry but leaves an impression of slight sweetness. Drink it slightly chilled.",Estate,91,26.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Woodward Canyon 2013 Estate Sauvignon Blanc (Walla Walla Valley (WA)),Sauvignon Blanc,Woodward Canyon
64,8074,Portugal,"Rounded and smooth, this generous blend of Touriga Nacional and Syrah, is rich and perfumed. It has an immediately appealing ripe and fruity character, with plenty of black fruit and dark cherry tones supported by juicy acidity. Solid and chunky, this wine needs to age and would be best after 2016.",Colheita Seleccionada,91,33.0,Alentejano,,,Roger Voss,@vossroger,Herdade Paço do Conde 2010 Colheita Seleccionada Red (Alentejano),Portuguese Red,Herdade Paço do Conde
65,8077,Chile,"Dark, concentrated and powerful, this Carmenère-heavy blend pumps out huge cassis, blackberry and cola aromas in front of a racy, tannic, jet-powered palate. Baked, lemon-blackberry and cola flavors are earthy and forceful. Tobacco and cedar notes along with hard tannins push the finish. Drink through 2018.",Reserve Assemblage Carmenère-Syrah-Cabernet Sauvignon,91,19.0,Colchagua Valley,,,Michael Schachner,@wineschach,Estampa 2012 Reserve Assemblage Carmenère-Syrah-Cabernet Sauvignon Red (Colchagua Valley),Red Blend,Estampa
66,8184,Chile,"Opens with a sublime bouquet of tobacco, perfume and baked cherry that conveys a sense of elegance. The palate is saturated and full, with integrated tannins and flavors of molasses, licorice and prime black fruits. This is probably a denser, slightly more ripe version of “M” than in past years, evidenced by the licorice, sweetness and coffee on the chewy finish. Drink now and over the next couple of years.",Alpha M,92,95.0,Santa Cruz,,,Michael Schachner,@wineschach,Montes 2006 Alpha M Red (Santa Cruz),Bordeaux-style Red Blend,Montes
67,8209,Portugal,"This is a big, ripe and fruity wine. It is now maturing well into a rich, solid, complex wine. This second wine from the Mouchão estate in Alentejo is gorgeous, opulent and rich. The black fruit character is powerful, with delicious acidity and a darkly tannic character. It is still very young, so drink from 2017.",Ponte das Canas Colheita,92,25.0,Alentejano,,,Roger Voss,@vossroger,Mouchão 2009 Ponte das Canas Colheita Red (Alentejano),Portuguese Red,Mouchão
68,8837,France,"The second wine from the biodynamic estate of Durfort-Vivens, this is a deliciously ripe fruity wine, dominated by 82% Cabernet Sauvignon. It has a crisp accessible character that will allow it to age relatively quickly. The wine has juicy acidity, red-berry fruits and final acidity. Drink from 2019.",Viviens,93,40.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Durfort-Vivens 2014 Viviens  (Margaux),Bordeaux-style Red Blend,Château Durfort-Vivens
